"model","AgeDgc_P1","AgeDgc_P2","AgeDgc_DF","tSizeMm_P1","tSizeMm_P2","tSizeMm_DF","EodNPos_P1","EodNPos_P2","EodNPos_DF","YearDgc_P1","YearDgc_P2","YearDgc_DF"
"M1",0.5,1,4,1,1,4,0.5,1,4,-2,-2,4
"M200K1",0.5,1,4,1,1,4,0.5,1,4,-2,-2,4
"M200K2",0.5,1,4,1,1,4,0.5,1,4,3,3,4
"M100K1",0.5,0.5,4,1,1,4,0,0,4,1,NA,1
"M100K2",0.5,0.5,4,1,1,4,0.5,1,4,1,NA,1
"M50K1",1,1,4,0.5,3,4,0,NA,2,-2,-2,4
"M50K2",1,1,4,1,1,4,-0.5,0.5,4,3,3,4
"M25K1",0.5,1,4,1,2,4,1,1,4,1,NA,1
"M25K2",0.5,0.5,4,1,2,4,0.5,2,4,1,NA,1
"M25K3",0.5,0.5,4,0.5,NA,2,-0.5,0,4,1,NA,1
"M10K1",0,0,4,0.5,NA,2,0,NA,2,NA,NA,0
"M10K2",0.5,1,4,1,2,4,0.5,NA,2,1,NA,1
"M10K3",0.5,1,4,-0.5,NA,2,0,NA,2,1,NA,1
"M5K1",0,0.5,4,1,3,4,0.5,NA,2,NA,NA,0
"M5K2",3,NA,2,1,NA,1,0.5,NA,2,1,NA,1
"M5K3",1,1,4,-0.5,NA,2,0,NA,2,NA,NA,0
"M2K5_1",3,NA,2,1,NA,1,0,NA,2,NA,NA,0
"M2K5_2",-1,0,4,1,NA,1,0,NA,2,NA,NA,0
"M2K5_3",0,0.5,4,1,NA,1,-0.5,NA,2,NA,NA,0
"M1K1",3,NA,2,1,NA,1,1,NA,1,NA,NA,0
"M1K2",3,NA,2,1,NA,1,1,NA,1,NA,NA,0
"M1K3",0,0.5,4,1,NA,1,1,NA,1,NA,NA,0
